"Little Daylight","","facebook.com/littledaylightsounds","youtube.com/LittleDaylightVevo","","","Brooklyn","NY",""
"Saor Patrol","","facebook.com/pages/Saor-Patrol/8569991613?ref=hl","","","","Edinburgh","","UK-SCOTLAND"
"Mighty Oaks","","facebook.com/mightyoaksmusic","youtube.com/user/mightyoaksofficial","","","Berlin","","GERMANY"
"Los Lonely Boys","","","","","","San Angelo","TX",""
"Speak","","facebook.com/hearspeakhere","youtube.com/hearspeakhere","","","Austin","TX",""
"Amy Cook","","facebook.com/amycookmusic","youtube.com/iamthebreakdancer","","","Austin","TX",""
"East Cameron Folkcore","","facebook.com/eastcameronfolkcore","","","","Austin","TX",""
"Eleni Mandell","","","","","","Los Angeles","CA",""
"SL Jones","","facebook.com/SLJonesMusic","youtube.com/SLJONESY","","","Little Rock","AR",""
"Lil Ray/Wheels Up","itsLilRaypeople.com","facebook.com/itsLilRaypeople","itsLilRaypeople","sonicbids.com/band/LilRayWheelsUp","","Houston","TX",""
"Que","","","","sonicbids.com/band/Whoisque","","Atlanta","GA",""
"The Chevelles","thechevelles.com","facebook.com/thecheveles","","sonicbids.com/band/TheChevelles","","North Fremantle","","AUSTRALIA"
"Garland Jeffreys","","facebook.com/pages/Garland-Jeffreys/10650433053","youtube.com/user/GJeffreysAdmin","","","New York","NY",""
"Imarhan","","facebook.com/mohamedissa.agoumar","youtube.com/watch?v=Gx7qEpcJeP8","","","Timbuktu","","MALI"
"The Baseball Project","","facebook.com/thebaseballproject","youtube.com/thebaseballproject","","","Portland","OR",""
"Cheetah Chrome","","facebook.com/cheetah.chrome","","","","Cleveland","OH",""
"David J","davidjonline.com","facebook.com/pages/David-J-Official/141257765949255","youtube.com/watch?v=wdtNazFGAOQ","sonicbids.com/band/DavidJ2","","Northampton","","UK-ENGLAND"
"Dusty Stray","dustystray.com","facebook.com/pages/DUSTY-STRAY/108866591020","youtube.com/user/dustystray","sonicbids.com/band/DustyStray","","Amsterdam","","THE NETHERLANDS"
"Micah P. Hinson","","facebook.com/micahphinson","","","","Denison","TX",""
